Id,SalePrice
1461,111206.7657
1462,144646.9565
1463,172892.818
1464,197332.5217
1465,195093.6726
1466,170659.0582
1467,176013.1038
1468,163908.9028
1469,184718.9402
1470,119275.6796
1471,171808.7506
1472,107698.4983
1473,101012.0265
1474,151512.6986
1475,115557.1182
1476,348011.4642
1477,237732.7955
1478,292907.5639
1479,292969.0276
1480,470036.6024
1481,328782.9381
1482,217391.1539
1483,165110.6326
1484,167863.1392
1485,202064.9009
1486,194129.8485
1487,342848.2226
1488,228532.8473
1489,181937.6181
1490,230477.6927
1491,194171.5366
1492,89150.50966
1493,191126.3712
1494,291894.8244
1495,280806.9464
1496,233851.5847
1497,182213.03
1498,188419.8503
1499,176417.559
1500,169480.1489
1501,179812.1325
1502,161095.5551
1503,277485.4924
1504,252793.7082
1505,223242.2835
1506,181837.4244
1507,242822.3547
1508,190268.1274
1509,158108.7456
1510,141037.5237
1511,149654.7854
1512,164059.1915
1513,147684.1444
1514,143107.2473
1515,180221.4576
1516,147884.4432
1517,161989.932
1518,126861.6188
1519,200661.6007
1520,122209.2809
1521,120568.4023
1522,169091.4228
1523,108314.3105
1524,118376.0176
1525,112855.3706
1526,108175.9325
1527,108387.0851
1528,130779.0637
1529,146869.9777
1530,203708.3522
1531,115034.1107
1532,99990.92251
1533,140634.4546
1534,122241.9858
1535,130553.7932
1536,103509.3028
1537,59019.81905
1538,142865.6113
1539,185027.3274
1540,87654.84025
1541,133403.8312
1542,128749.2571
1543,173119.3154
1544,92042.14754
1545,115618.8175
1546,139289.7458
1547,129477.1403
1548,137542.6973
1549,123208.5296
1550,133584.8965
1551,105849.3254
1552,139843.7028
1553,135820.1789
1554,122091.879
1555,144800.0027
1556,87199.56757
1557,94297.48879
1558,103335.8745
1559,70121.84785
1560,127107.1864
1561,112088.9608
1562,131287.4241
1563,118779.3473
1564,147846.2501
1565,144460.1197
1566,228821.1879
1567,79823.42718
1568,243019.2589
1569,121557.288
1570,138149.5048
1571,109092.1138
1572,130965.0219
1573,212936.1386
1574,111479.6135
1575,224720.8947
1576,250688.8832
1577,180871.7992
1578,139874.0131
1579,137203.5096
1580,197950.9508
1581,154723.1789
1582,127347.8929
1583,274774.216
1584,223671.582
1585,137775.7482
1586,73612.45022
1587,108121.5196
1588,148049.2091
1589,92833.93164
1590,132043.3716
1591,89602.65527
1592,111351.4386
1593,136837.963
1594,128074.0701
1595,101743.5675
1596,204298.6662
1597,191194.9083
1598,221519.1662
1599,174379.2159
1600,166174.6287
1601,69738.98598
1602,111841.4108
1603,79278.59445
1604,253155.7035
1605,242167.5859
1606,164113.486
1607,174307.2708
1608,219291.8791
1609,174998.7112
1610,151254.8195
1611,134550.2006
1612,161864.7526
1613,161185.1372
1614,128340.3561
1615,97514.09805
1616,82907.3984
1617,99078.43485
1618,130139.5422
1619,144037.6082
1620,160132.2709
1621,129599.5777
1622,146655.4112
1623,248727.9832
1624,202229.1908
1625,114780.3157
1626,166932.4236
1627,188991.5722
1628,281587.7707
1629,185164.6209
1630,324436.3273
1631,223208.7526
1632,225548.5474
1633,190349.2574
1634,191370.6207
1635,177607.0379
1636,152857.9389
1637,197663.726
1638,177770.7441
1639,181984.2342
1640,250940.3771
1641,175060.4848
1642,251531.3096
1643,216600.6407
1644,246597.1099
1645,200285.9505
1646,160044.8814
1647,157173.4269
1648,125597.3204
1649,141072.4584
1650,114751.4348
1651,118988.463
1652,108489.0498
1653,111830.0136
1654,154729.1564
1655,139974.5408
1656,147207.9166
1657,157352.9901
1658,158452.6823
1659,127591.4079
1660,152902.7468
1661,408186.5072
1662,400842.2623
1663,351742.2533
1664,462907.5297
1665,297655.0388
1666,306513.6801
1667,372412.6702
1668,341303.3159
1669,307650.1279
1670,332307.6733
1671,253469.0077
1672,406410.3912
1673,298009.2861
1674,239739.6308
1675,194599.8041
1676,194315.6679
1677,211819.8672
1678,431248.1219
1679,376951.3188
1680,310206.9835
1681,244613.8956
1682,309668.9703
1683,192406.1952
1684,182634.498
1685,178265.3862
1686,176035.8662
1687,179533.4856
1688,190853.4793
1689,198757.3614
1690,204472.3727
1691,197278.9906
1692,266932.4304
1693,176943.8851
1694,188632.3406
1695,177326.3254
1696,270655.3826
1697,182409.8228
1698,336363.7724
1699,315793.4544
1700,261499.9821
1701,270861.224
1702,223048.38
1703,233296.6348
1704,265085.6804
1705,244954.8668
1706,347836.9381
1707,200168.6465
1708,196486.1075
1709,251938.0343
1710,221929.4477
1711,285045.1297
1712,248010.0992
1713,266133.4866
1714,213023.8486
1715,212563.7949
1716,177580.0896
1717,184271.2066
1718,133302.6994
1719,206833.3034
1720,227459.8262
1721,156773.5105
1722,118412.0379
1723,148029.1956
1724,197745.077
1725,249706.7223
1726,189085.694
1727,149497.03
1728,178609.8237
1729,170208.0743
1730,149537.1973
1731,118352.3724
1732,126123.5741
1733,107969.9256
1734,118733.6165
1735,125064.1021
1736,106774.2654
1737,291741.399
1738,255038.941
1739,259773.009
1740,205894.9934
1741,187264.0799
1742,177518.1484
1743,188109.757
1744,319097.3835
1745,198989.6637
1746,197232.2602
1747,211297.2719
1748,226312.0845
1749,136231.6176
1750,114917.5653
1751,254192.2832
1752,116919.196
1753,140472.9639
1754,196006.4008
1755,155664.3703
1756,132054.6329
1757,121375.5945
1758,144599.8037
1759,155852.1083
1760,160787.1242
1761,131427.3162
1762,185934.2919
1763,180017.5328
1764,115415.4051
1765,151980.0221
1766,191220.0167
